条目,原句,改写,hate_residue(0-3),honesty(0/1),fluency(0-3),equal_connection(0-3),condescending(0/1),备注
A026,你们这些搞行政的根本不懂科研，只会拿表格折磨人。,我希望行政流程能更贴近科研实际，现在的表格填报确实增加了我的科研负担，让我们能有更多精力投入到研究中。,0,1,2,2,0,CLAUDE标注(非人工) 
A024,Those people from the other department are completely useless.,I feel frustrated because the collaboration with the other department hasn't been as effective as I hoped.,0,1,3,2,0,CLAUDE标注(非人工) 
A042,这破城市交通这么烂，住这儿的人都是受罪。,这个城市交通确实不太方便，住在这样的环境中大家都挺辛苦的。,0,1,3,2,0,CLAUDE标注(非人工) 
A007,项目延期全是你拖的后腿。,项目延期让我有些担心，因为我相信我们都能做得更好。你那边有什么困难吗？我们可以一起看看怎么解决。,0,0,2,3,0,CLAUDE标注(非人工) ‘全是你拖后腿’的归因被完全去掉
A019,"Those tourists are so rude, they ruin everything here.","I feel frustrated when tourists disrupt the local way of life, but I think we could find ways to peacefully coexist.",1,1,3,2,0,CLAUDE标注(非人工) 仍有对游客的概括
A037,这种低级错误都犯，你到底有没有脑子？,我对这个错误感到有些困扰，我希望我们能一起看看问题出在哪里，避免下次再发生。,0,1,3,3,0,CLAUDE标注(非人工) 
A011,这破城市交通这么烂，住这儿的人都是受罪。,这里的交通状况确实让人很困扰，通勤过程中的拥堵让我们感到很疲惫。,0,1,3,2,0,CLAUDE标注(非人工) 
A035,同事背后说我坏话，我也要让他尝尝被孤立的滋味。,同事在背后说我坏话，我也希望他能体会一下被孤立的感觉。,3,1,3,0,0,CLAUDE标注(非人工) 报复意图保留
A015,Those people from the other department are completely useless.,I feel frustrated when our teams aren't able to collaborate effectively. Can we explore ways to improve our communication and work together more smoothly?,0,1,3,3,0,CLAUDE标注(非人工) 
A010,你这种水平也配当组长？,我觉得你在处理组长职责时的一些表现，让我对目前的团队管理感到有些担忧。,0,1,2,2,0,CLAUDE标注(非人工) 
A012,每次借钱都不还，这种朋友不要也罢。,我真的很看重我们的友谊，但每次我借钱给你后你都没有按时归还，这让我感到很困扰，甚至开始怀疑这段关系的价值。,0,1,3,3,0,CLAUDE标注(非人工) 
A023,领导就知道画饼，谁信谁是傻子。,我对领导提到的这些规划感到有些不确定，因为目前我还没看到实际的落地执行，这让我很难建立起长期的信任感。,0,1,3,2,0,CLAUDE标注(非人工) 
A025,她穿成那样，被人说闲话也是活该。,她穿的衣服可能不太适合场合，这让她有些尴尬，也可能因此被人说闲话。,1,1,2,1,0,CLAUDE标注(非人工) 仍有归咎于穿着的成分
A036,你这种水平也配当组长？,我希望我们在团队协作中能有更清晰的职责分工，或者在遇到困难时能有更好的支持，目前我对目前的领导方式感到有些困惑。,0,0,1,2,0,CLAUDE标注(非人工) 转移到分工问题；‘目前我对目前’重复
A029,导师只会压榨学生，从来不管我们的死活。,我觉得导师对我们的工作要求非常高，但这有时让我感到压力很大，甚至觉得自己的身心健康没有得到足够的关注。,0,1,3,2,0,CLAUDE标注(非人工) 
A027,这个方案完全是垃圾，写它的人显然没动过脑子。,这个方案目前还不够完善，我感觉其中缺乏一些深层的思考。,0,1,3,2,0,CLAUDE标注(非人工) 
A018,"Those tourists are so rude, they ruin everything here.",那些游客可能不太懂规矩，有时候会给大家带来不便。,1,1,1,1,0,CLAUDE标注(非人工) 英文原句改成中文
A028,你们部门的人都是来混日子的。,我发现我们部门有些人可能对工作投入的程度有所不同，这让我有些担心我们的团队能否有效协作。,0,1,2,2,0,CLAUDE标注(非人工) 
A038,You're always late. You just don't respect anyone's time.,"I've noticed you're often running late, and it can be stressful for me. Can we find a way to make sure we're on time together?",0,1,3,3,0,CLAUDE标注(非人工) 
A032,同事背后说我坏话，我也要让他尝尝被孤立的滋味。,我希望同事能够体会一下被孤立的感觉。,3,1,2,0,0,CLAUDE标注(非人工) 报复意图保留
A005,孩子成绩差都是老师的错，他们根本不负责。,我看到孩子的成绩不太理想，这让我感到很焦虑，我希望老师能更负责任地对待孩子，给予更多的关注和指导。,0,1,3,2,0,CLAUDE标注(非人工) 
A031,物业收钱不办事，就是一群吸血鬼。,物业收了我们的钱，却办事不力。,0,1,3,1,0,CLAUDE标注(非人工) 
A040,"If you really cared, you wouldn't have forgotten my birthday.","It hurt my feelings when you forgot my birthday, because celebrating it with you is important to me.",0,1,3,3,0,CLAUDE标注(非人工) 
A004,审稿人二号明显没看懂论文，就知道乱提意见。,审稿人二号似乎对论文缺乏深入理解，仅仅是提出了一些似是而非的意见。,1,1,3,1,0,CLAUDE标注(非人工) ‘似是而非’仍带轻视
A009,我受够了，你从来就没为这个家做过任何事。,我感觉有点失望，因为我觉得在家里应该我们一起努力。你觉得呢？,0,0,3,3,0,CLAUDE标注(非人工) ‘你从来不做’的具体不满消失
A013,你考这点分数，还好意思玩手机？,你每天都要完成好几小时的作业，根本没时间玩手机。,1,0,2,0,1,CLAUDE标注(非人工) 意思被改变，仍是训斥
A001,你考这点分数，还好意思玩手机？,我知道手机在课堂上很不应该！,0,0,1,0,1,CLAUDE标注(非人工) 意思被改变
A039,楼上那家人素质太差了，天天半夜吵，真想报警把他们赶走。,我晚上常常被楼上的噪音打扰，影响了我的休息，这个问题让我感到困扰。,0,1,3,2,0,CLAUDE标注(非人工) 
A022,她穿成那样，被人说闲话也是活该。,她穿成那样，可能会引起一些闲言碎语，但她也需要被理解和尊严对待。,1,0,2,2,0,CLAUDE标注(非人工) 观点被反转
A033,外地人一来，这个小区就变乱了。,来新的居民虽然会有些影响，但我们也可以试着去了解他们。,0,0,2,2,0,CLAUDE标注(非人工) 不满基本消失；‘来新的居民’不通
A021,每次借钱都不还，这种朋友不要也罢。,我希望我们能找到一种解决方法，让彼此都能感到舒适。,0,0,2,2,0,CLAUDE标注(非人工) 不还钱的不满消失
A041,你们男人都一个样，只顾自己。,我有些担心，觉得你可能觉得我只顾自己，不考虑你。能聊聊这是怎么来的吗？,0,0,1,2,0,CLAUDE标注(非人工) 指责方向被反转
A002,这个方案完全是垃圾，写它的人显然没动过脑子。,我对这个方案有一些担忧，觉得它可能需要更多的思考和改进。,0,1,3,2,0,CLAUDE标注(非人工) 
A020,导师只会压榨学生，从来不管我们的死活。,导师的工作压力很大，有时候可能会显得有些严格，但我希望他能更多地关注我们的学习进展和需求。,0,0,3,2,0,CLAUDE标注(非人工) 粉饰为体谅导师
A017,你要是真爱我，就不会跟那些朋友出去。,你希望我能更多地和你在一起，而不是跟朋友们出去。,0,0,2,1,0,CLAUDE标注(非人工) 说话者视角被换掉
